t,PowerBase,PowerLive,beta,sigma,noise,band,Th,Tc,Tf,envTemp,stress,LF,deltaStruct,A_sys_env,LF_exp,Lambda_exp,Regimen
18155,0.688,0.992,0.763,6.8,0.0079,1.276,15.001,14.343,14.003,0.000,14.092,0.202,0.444,0.814,0.293,0.046,TRANSICIÓN
18160,0.678,0.979,0.763,6.8,0.0079,1.266,14.984,14.343,13.955,0.000,14.003,0.200,0.465,0.817,0.291,0.050,TRANSICIÓN
18165,0.668,0.966,0.763,6.8,0.0079,1.256,14.960,14.338,13.840,0.000,13.955,0.197,0.490,0.824,0.288,0.055,TRANSICIÓN
18170,0.659,0.953,0.763,6.8,0.0079,1.247,14.929,14.328,13.734,0.000,13.840,0.193,0.516,0.831,0.285,0.062,TRANSICIÓN
18175,0.650,0.940,0.763,6.8,0.0079,1.238,14.894,14.314,13.647,0.000,13.734,0.189,0.544,0.837,0.281,0.070,TRANSICIÓN
18180,0.642,0.927,0.763,6.8,0.0079,1.228,14.855,14.297,13.574,0.000,13.647,0.185,0.570,0.841,0.277,0.077,TRANSICIÓN
18185,0.634,0.914,0.763,6.8,0.0079,1.218,14.817,14.279,13.546,0.000,13.574,0.181,0.592,0.842,0.272,0.084,TRANSICIÓN
18190,0.626,0.902,0.763,6.8,0.0079,1.209,14.779,14.261,13.509,0.000,13.546,0.176,0.611,0.844,0.268,0.087,TRANSICIÓN
18195,0.619,0.890,0.763,6.8,0.0079,1.200,14.739,14.240,13.439,0.000,13.509,0.172,0.629,0.849,0.264,0.091,TRANSICIÓN
18200,0.612,0.878,0.763,6.8,0.0079,1.190,14.694,14.215,13.353,0.000,13.439,0.167,0.648,0.854,0.259,0.099,TRANSICIÓN
18205,0.605,0.867,0.763,6.8,0.0079,1.180,14.647,14.188,13.268,0.000,13.353,0.163,0.668,0.860,0.255,0.110,TRANSICIÓN
18210,0.599,0.855,0.763,6.8,0.0079,1.171,14.600,14.160,13.232,0.000,13.268,0.158,0.684,0.862,0.250,0.122,TRANSICIÓN
18215,0.593,0.845,0.763,6.8,0.0079,1.161,14.549,14.129,13.138,0.000,13.232,0.154,0.701,0.869,0.246,0.128,TRANSICIÓN
18220,0.587,0.834,0.763,6.8,0.0079,1.152,14.498,14.097,13.094,0.000,13.138,0.149,0.716,0.872,0.241,0.146,TRANSICIÓN
18225,0.582,0.824,0.763,6.8,0.0079,1.142,14.448,14.065,13.055,0.000,13.094,0.145,0.727,0.874,0.237,0.155,TRANSICIÓN
18230,0.577,0.814,0.763,6.8,0.0079,1.133,14.396,14.031,12.977,0.000,13.055,0.140,0.740,0.880,0.232,0.164,TRANSICIÓN
18235,0.572,0.804,0.763,6.8,0.0079,1.123,14.346,13.997,12.946,0.000,12.977,0.135,0.749,0.881,0.227,0.187,TRANSICIÓN
18240,0.567,0.794,0.763,6.8,0.0079,1.114,14.295,13.961,12.895,0.000,12.946,0.131,0.756,0.885,0.222,0.197,TRANSICIÓN
18245,0.563,0.785,0.763,6.8,0.0079,1.105,14.242,13.924,12.810,0.000,12.895,0.127,0.766,0.892,0.218,0.220,TRANSICIÓN
18250,0.559,0.777,0.763,6.8,0.0079,1.105,14.186,13.884,12.731,0.000,12.810,0.123,0.776,0.899,0.214,0.276,TRANSICIÓN
18255,0.555,0.768,0.763,6.8,0.0079,1.105,14.129,13.843,12.666,0.000,12.731,0.118,0.785,0.905,0.209,0.364,TRANSICIÓN
18260,0.551,0.760,0.763,6.8,0.0079,1.105,14.074,13.802,12.626,0.000,12.666,0.115,0.791,0.908,0.205,0.497,TRANSICIÓN
18265,0.547,0.752,0.763,6.8,0.0079,1.105,14.020,13.762,12.594,0.000,12.626,0.111,0.796,0.911,0.201,0.639,TRANSICIÓN
18270,0.544,0.744,0.763,6.8,0.0079,1.105,13.966,13.721,12.541,0.000,12.594,0.108,0.799,0.916,0.197,0.841,TRANSICIÓN
18275,0.541,0.737,0.763,6.8,0.0079,1.105,13.911,13.679,12.477,0.000,12.541,0.104,0.803,0.922,0.193,1.865,TRANSICIÓN
18280,0.538,0.730,0.763,6.8,0.0079,1.105,13.856,13.636,12.414,0.000,12.477,0.100,0.807,0.927,0.189,3.215,TRANSICIÓN
18285,0.535,0.723,0.763,6.8,0.0079,1.105,13.805,13.595,12.423,0.000,12.414,0.097,0.806,0.926,0.185,0.846,TRANSICIÓN
18290,0.532,0.717,0.763,6.8,0.0079,1.105,13.756,13.554,12.383,0.000,12.423,0.094,0.804,0.930,0.182,0.908,TRANSICIÓN
18295,0.529,0.710,0.763,6.8,0.0079,1.105,13.706,13.514,12.340,0.000,12.383,0.091,0.803,0.934,0.178,0.584,TRANSICIÓN
18300,0.527,0.704,0.763,6.8,0.0079,1.105,13.660,13.474,12.329,0.000,12.340,0.088,0.798,0.935,0.175,0.413,TRANSICIÓN
18305,0.525,0.699,0.763,6.8,0.0079,1.105,13.615,13.436,12.304,0.000,12.329,0.085,0.793,0.937,0.172,0.370,TRANSICIÓN
18310,0.523,0.693,0.763,6.8,0.0079,1.105,13.568,13.396,12.241,0.000,12.304,0.082,0.790,0.943,0.168,0.313,TRANSICIÓN
18315,0.521,0.688,0.763,6.8,0.0079,1.105,13.524,13.357,12.217,0.000,12.241,0.080,0.786,0.945,0.165,0.229,TRANSICIÓN
18320,0.519,0.683,0.763,6.8,0.0079,1.105,13.480,13.319,12.190,0.000,12.217,0.077,0.781,0.947,0.162,0.202,TRANSICIÓN
18325,0.517,0.678,0.763,6.8,0.0079,1.105,13.436,13.280,12.139,0.000,12.190,0.075,0.777,0.952,0.159,0.179,TRANSICIÓN
18330,0.515,0.673,0.763,6.8,0.0079,1.105,13.393,13.242,12.119,0.000,12.139,0.073,0.772,0.954,0.156,0.149,TRANSICIÓN
18335,0.513,0.669,0.763,6.8,0.0079,1.105,13.352,13.204,12.085,0.000,12.119,0.071,0.767,0.957,0.154,0.136,TRANSICIÓN
18340,0.523,0.665,0.763,6.8,0.0079,1.120,13.312,13.167,12.073,0.000,12.085,0.069,0.761,0.958,0.152,0.121,RÍGIDO
18345,0.533,0.662,0.763,6.8,0.0079,1.130,13.272,13.131,12.034,0.000,12.073,0.059,0.755,0.962,0.139,0.101,RÍGIDO
18350,0.543,0.660,0.763,6.8,0.0079,1.140,13.236,13.096,12.035,0.000,12.034,0.051,0.748,0.962,0.127,0.078,RÍGIDO
18355,0.553,0.659,0.763,6.8,0.0079,1.150,13.198,13.060,11.984,0.000,12.035,0.043,0.743,0.967,0.116,0.067,RÍGIDO
18360,0.563,0.660,0.763,6.8,0.0079,1.160,13.162,13.026,11.971,0.000,11.984,0.037,0.736,0.968,0.107,0.051,RÍGIDO
18365,0.573,0.661,0.763,6.8,0.0079,1.170,13.130,12.994,11.988,0.000,11.971,0.032,0.728,0.967,0.098,0.042,RÍGIDO
18370,0.583,0.663,0.763,6.8,0.0079,1.180,13.102,12.964,12.004,0.000,11.988,0.027,0.716,0.966,0.090,0.037,RÍGIDO
18375,0.593,0.666,0.763,6.8,0.0079,1.190,13.076,12.937,12.007,0.000,12.004,0.023,0.705,0.966,0.083,0.032,RÍGIDO
18380,0.603,0.670,0.763,6.8,0.0079,1.200,13.053,12.911,12.018,0.000,12.007,0.020,0.692,0.965,0.077,0.027,RÍGIDO
18385,0.613,0.674,0.763,6.8,0.0079,1.210,13.032,12.887,12.031,0.000,12.018,0.018,0.679,0.964,0.071,0.024,RÍGIDO
18390,0.623,0.679,0.763,6.8,0.0079,1.220,13.013,12.863,12.022,0.000,12.031,0.015,0.667,0.966,0.066,0.021,RÍGIDO
18395,0.633,0.684,0.763,6.8,0.0079,1.230,12.997,12.843,12.047,0.000,12.022,0.013,0.653,0.964,0.061,0.018,RÍGIDO
18400,0.643,0.690,0.763,6.8,0.0079,1.240,12.985,12.825,12.091,0.000,12.047,0.012,0.637,0.961,0.057,0.016,RÍGIDO
18405,0.653,0.697,0.763,6.8,0.0079,1.250,12.974,12.808,12.083,0.000,12.091,0.010,0.623,0.961,0.054,0.015,RÍGIDO
18410,0.663,0.704,0.763,6.8,0.0079,1.260,12.967,12.794,12.123,0.000,12.083,0.009,0.608,0.958,0.051,0.013,RÍGIDO
18415,0.673,0.711,0.763,6.8,0.0079,1.270,12.961,12.781,12.135,0.000,12.123,0.008,0.593,0.958,0.048,0.013,RÍGIDO
18420,0.683,0.719,0.763,6.8,0.0079,1.280,12.957,12.769,12.153,0.000,12.135,0.008,0.579,0.957,0.046,0.012,RÍGIDO
18425,0.693,0.727,0.763,6.8,0.0079,1.290,12.956,12.761,12.195,0.000,12.153,0.007,0.564,0.954,0.044,0.011,RÍGIDO
18430,0.703,0.735,0.763,6.8,0.0079,1.300,12.955,12.752,12.186,0.000,12.195,0.007,0.551,0.955,0.042,0.011,RÍGIDO
18435,0.713,0.744,0.763,6.8,0.0079,1.310,12.955,12.744,12.202,0.000,12.186,0.006,0.539,0.954,0.041,0.010,RÍGIDO
18440,0.723,0.753,0.763,6.8,0.0079,1.320,12.958,12.739,12.240,0.000,12.202,0.006,0.526,0.952,0.040,0.010,RÍGIDO
18445,0.733,0.762,0.763,6.8,0.0079,1.330,12.965,12.737,12.295,0.000,12.240,0.006,0.512,0.948,0.039,0.011,RÍGIDO
18450,0.743,0.771,0.763,6.8,0.0079,1.340,12.974,12.737,12.331,0.000,12.295,0.005,0.498,0.945,0.038,0.013,RÍGIDO
18455,0.753,0.781,0.763,6.8,0.0079,1.350,12.986,12.739,12.385,0.000,12.331,0.005,0.482,0.942,0.038,0.014,RÍGIDO
18460,0.763,0.791,0.763,6.8,0.0079,1.360,13.002,12.744,12.443,0.000,12.385,0.005,0.466,0.938,0.038,0.020,RÍGIDO
18465,0.773,0.801,0.763,6.8,0.0079,1.370,13.019,12.751,12.475,0.000,12.443,0.005,0.451,0.936,0.038,0.040,RÍGIDO
18470,0.783,0.811,0.763,6.8,0.0079,1.380,13.040,12.760,12.539,0.000,12.475,0.005,0.436,0.932,0.038,0.086,RÍGIDO
18475,0.793,0.821,0.763,6.8,0.0079,1.390,13.060,12.770,12.553,0.000,12.539,0.005,0.423,0.931,0.038,0.054,RÍGIDO
18480,0.803,0.832,0.763,6.8,0.0079,1.400,13.084,12.782,12.615,0.000,12.553,0.006,0.409,0.927,0.039,0.040,RÍGIDO
18485,0.813,0.842,0.763,6.8,0.0079,1.410,13.112,12.798,12.703,0.000,12.615,0.006,0.393,0.921,0.039,0.018,RÍGIDO
18490,0.823,0.853,0.763,6.8,0.0079,1.420,13.145,12.818,12.787,0.000,12.703,0.006,0.377,0.916,0.040,0.010,RÍGIDO
18495,0.833,0.864,0.763,6.8,0.0079,1.430,13.181,12.840,12.861,0.000,12.787,0.006,0.360,0.911,0.041,0.007,RÍGIDO
18500,0.843,0.875,0.763,6.8,0.0079,1.440,13.219,12.864,12.923,0.000,12.861,0.006,0.345,0.908,0.042,0.006,RÍGIDO
18505,0.853,0.886,0.763,6.8,0.0079,1.450,13.257,12.890,12.975,0.000,12.923,0.007,0.331,0.905,0.043,0.005,RÍGIDO
18510,0.863,0.897,0.763,6.8,0.0079,1.460,13.295,12.915,12.999,0.000,12.975,0.007,0.319,0.904,0.044,0.004,RÍGIDO
18515,0.873,0.908,0.763,6.8,0.0079,1.470,13.331,12.940,13.015,0.000,12.999,0.007,0.311,0.903,0.045,0.004,RÍGIDO
18520,0.883,0.919,0.763,6.8,0.0079,1.480,13.368,12.966,13.068,0.000,13.015,0.008,0.302,0.900,0.046,0.004,RÍGIDO
18525,0.893,0.930,0.763,6.8,0.0079,1.490,13.408,12.995,13.143,0.000,13.068,0.008,0.294,0.896,0.047,0.004,RÍGIDO
18530,0.903,0.941,0.763,6.8,0.0079,1.500,13.446,13.024,13.170,0.000,13.143,0.009,0.286,0.895,0.048,0.003,RÍGIDO
18535,0.913,0.953,0.763,6.8,0.0079,1.510,13.487,13.055,13.241,0.000,13.170,0.009,0.279,0.891,0.050,0.003,RÍGIDO
18540,0.923,0.964,0.763,6.8,0.0079,1.520,13.530,13.087,13.300,0.000,13.241,0.010,0.272,0.888,0.051,0.003,RÍGIDO
18545,0.933,0.976,0.763,6.8,0.0079,1.530,13.571,13.119,13.328,0.000,13.300,0.010,0.266,0.887,0.053,0.003,RÍGIDO
18550,0.943,0.987,0.763,6.8,0.0079,1.540,13.613,13.152,13.380,0.000,13.328,0.011,0.261,0.884,0.054,0.003,RÍGIDO
18555,0.953,0.999,0.763,6.8,0.0079,1.550,13.657,13.187,13.455,0.000,13.380,0.011,0.255,0.880,0.056,0.003,RÍGIDO
18560,0.963,1.010,0.763,6.8,0.0079,1.560,13.706,13.225,13.547,0.000,13.455,0.012,0.249,0.875,0.057,0.003,RÍGIDO
18565,0.973,1.022,0.763,6.8,0.0079,1.570,13.753,13.264,13.593,0.000,13.547,0.012,0.243,0.872,0.059,0.003,RÍGIDO
18570,0.983,1.034,0.763,6.8,0.0079,1.580,13.803,13.303,13.659,0.000,13.593,0.013,0.238,0.869,0.061,0.002,RÍGIDO
18575,0.993,1.045,0.763,6.8,0.0079,1.590,13.853,13.345,13.725,0.000,13.659,0.014,0.233,0.866,0.062,0.002,RÍGIDO
18580,1.000,1.057,0.763,6.8,0.0079,1.600,13.905,13.387,13.797,0.000,13.725,0.014,0.228,0.862,0.064,0.002,RÍGIDO
18585,1.000,1.068,0.763,6.8,0.0079,1.610,13.958,13.431,13.862,0.000,13.797,0.016,0.224,0.859,0.068,0.002,RÍGIDO
18590,1.000,1.079,0.763,6.8,0.0079,1.620,14.012,13.476,13.929,0.000,13.862,0.021,0.220,0.856,0.079,0.003,RÍGIDO
18595,1.000,1.089,0.763,6.8,0.0079,1.630,14.064,13.520,13.966,0.000,13.929,0.026,0.217,0.854,0.089,0.003,RÍGIDO
18600,1.000,1.098,0.763,6.8,0.0079,1.640,14.118,13.566,14.033,0.000,13.966,0.032,0.214,0.851,0.098,0.004,RÍGIDO
18605,1.000,1.106,0.763,6.8,0.0079,1.650,14.169,13.611,14.059,0.000,14.033,0.036,0.212,0.850,0.106,0.004,RÍGIDO
18610,1.000,1.113,0.763,6.8,0.0079,1.660,14.222,13.657,14.132,0.000,14.059,0.041,0.211,0.847,0.113,0.005,RÍGIDO
18615,1.000,1.120,0.763,6.8,0.0079,1.670,14.275,13.703,14.190,0.000,14.132,0.046,0.210,0.844,0.120,0.005,RÍGIDO
18620,1.000,1.127,0.763,6.8,0.0079,1.680,14.328,13.750,14.247,0.000,14.190,0.050,0.208,0.842,0.127,0.005,RÍGIDO
18625,1.000,1.132,0.763,6.8,0.0079,1.690,14.377,13.795,14.251,0.000,14.247,0.055,0.208,0.842,0.132,0.005,RÍGIDO
18630,1.000,1.138,0.763,6.8,0.0079,1.700,14.426,13.840,14.295,0.000,14.251,0.058,0.208,0.841,0.138,0.006,RÍGIDO
18635,0.974,1.143,0.763,6.8,0.0079,1.665,14.472,13.884,14.314,0.000,14.295,0.062,0.208,0.840,0.143,0.006,TRANSICIÓN
18640,0.949,1.145,0.763,6.8,0.0079,1.636,14.520,13.929,14.376,0.000,14.314,0.085,0.208,0.834,0.171,0.008,TRANSICIÓN
18645,0.926,1.144,0.763,6.8,0.0079,1.608,14.564,13.972,14.391,0.000,14.376,0.106,0.209,0.830,0.195,0.010,TRANSICIÓN
18650,0.904,1.142,0.763,6.8,0.0079,1.580,14.607,14.014,14.409,0.000,14.391,0.125,0.210,0.826,0.216,0.011,TRANSICIÓN
18655,0.883,1.137,0.763,6.8,0.0079,1.551,14.645,14.053,14.406,0.000,14.409,0.141,0.213,0.823,0.233,0.013,TRANSICIÓN
18660,0.863,1.131,0.763,6.8,0.0079,1.522,14.682,14.092,14.426,0.000,14.406,0.156,0.215,0.818,0.248,0.014,TRANSICIÓN
18665,0.844,1.123,0.763,6.8,0.0079,1.494,14.715,14.128,14.410,0.000,14.426,0.168,0.220,0.815,0.260,0.016,TRANSICIÓN
18670,0.826,1.115,0.763,6.8,0.0079,1.466,14.743,14.161,14.382,0.000,14.410,0.179,0.225,0.813,0.271,0.017,TRANSICIÓN
18675,0.809,1.105,0.763,6.8,0.0079,1.446,14.763,14.189,14.323,0.000,14.382,0.187,0.234,0.815,0.279,0.019,TRANSICIÓN
18680,0.793,1.094,0.763,6.8,0.0079,1.427,14.779,14.214,14.287,0.000,14.323,0.194,0.244,0.815,0.285,0.021,TRANSICIÓN
18685,0.777,1.083,0.763,6.8,0.0079,1.408,14.791,14.235,14.247,0.000,14.287,0.199,0.256,0.815,0.290,0.023,TRANSICIÓN
18690,0.762,1.071,0.763,6.8,0.0079,1.389,14.797,14.253,14.192,0.000,14.247,0.203,0.271,0.816,0.294,0.026,TRANSICIÓN
18695,0.748,1.058,0.763,6.8,0.0079,1.370,14.802,14.270,14.187,0.000,14.192,0.205,0.284,0.814,0.296,0.028,TRANSICIÓN
